Player,Role,Position,Foot,Height,Weight,Birth,Nationality,Club,Wage,Expiration,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,6Seasons*,Non-PenaltyGoals,npxG:Non-PenaltyxG,ShotsTotal,Assists,xAG:Exp.AssistedGoals,npxG+xAG,Shot-CreatingActions,PassesAttempted,PassCompletion%,ProgressivePasses,ProgressiveCarries,SuccessfulTake-Ons,Touches(AttPen),ProgressivePassesRec,Tackles,Interceptions,Blocks,Clearances,AerialsWon,PSxG-GA,GoalsAgainst,SavePercentage,PSxG/SoT,Save%(PenaltyKicks),CleanSheetPercentage,Touches,Launch%,GoalKicks,Avg.LengthofGoalKicks,CrossesStopped%,Def.ActionsOutsidePen.Area,Avg.DistanceofDef.Actions,3Seasons*
Alphonso Davies,DF-FW-MF,"(FB,",Left,178cm,68kg,"November 2, 2000",Canada,Bayern Munich,"216,346",2025.0,,,,,,,0.04,0.02,0.45,0.15,0.1,0.12,2.87,72.64,87.7,4.89,4.67,3.02,2.35,5.79,2.05,1.05,1.34,1.9,0.6,,,,,,,,,,,,,,
Jamal Musiala,FW-MF,(AM),Right,184cm,72kg,"February 26, 2003",Germany,Bayern Munich,"96,154",2026.0,,,,,,,0.42,0.35,2.9,0.23,0.28,0.63,5.07,39.3,82.9,5.13,5.26,4.23,6.0,7.58,1.71,0.94,1.29,0.16,0.29,,,,,,,,,,,,,,
Dayot Upamecano,DF,(CB),Right,188cm,78kg,"October 27, 1998",France,Bayern Munich,"192,308",2026.0,,,,,,,0.04,0.08,0.67,0.0,0.02,0.1,1.26,95.05,92.6,6.95,1.22,0.21,0.93,0.38,2.02,1.01,0.76,2.65,2.23,,,,,,,,,,,,,,
Thomas Müller,FW-MF,(AM-WM),Right,186cm,74kg,"September 13, 1989",Germany,Bayern Munich,"394,231",2025.0,,,,,,,0.31,0.37,2.05,0.4,0.41,0.79,5.61,42.51,73.5,4.18,1.78,0.62,6.14,10.19,1.34,0.13,1.51,0.62,1.38,,,,,,,,,,,,,,
Konrad Laimer,DF-MF,(CM-DM-WM),Right,179cm,68kg,"May 27, 1997",Austria,Bayern Munich,"173,077",2027.0,,,,,,,0.07,0.08,0.85,0.07,0.13,0.2,2.8,64.67,87.0,5.73,3.14,1.43,2.35,4.53,3.34,0.95,2.05,0.72,0.58,,,,,,,,,,,,,,
Matthijs de Ligt,DF,(CB),Right,189cm,88kg,"August 12, 1999",Netherlands,Bayern Munich,"307,692",2027.0,,,,,,,0.09,0.09,1.0,0.04,0.03,0.12,0.87,74.8,92.8,5.63,0.79,0.09,1.35,0.48,1.0,1.05,0.96,3.28,2.88,,,,,,,,,,,,,,
Noussair Mazraoui,DF-MF,"(FB,",Right,183cm,73kg,"November 14, 1997",Morocco,Bayern Munich,"153,846",2026.0,,,,,,,0.05,0.08,0.81,0.23,0.12,0.19,2.8,71.69,87.2,8.5,2.94,0.95,2.35,6.42,2.31,1.31,1.22,1.72,1.4,,,,,,,,,,,,,,
Raphaël Guerreiro,DF-MF,"(FB-WM,",Left,170cm,67kg,"December 22, 1993",Portugal,Bayern Munich,"153,846",2026.0,,,,,,,0.21,0.15,1.56,0.1,0.19,0.33,4.06,75.47,84.7,7.55,3.33,0.83,3.28,7.24,1.35,1.15,0.63,0.63,0.21,,,,,,,,,,,,,,
Sven Ulreich,GK,,Right,192cm,83kg,"August 3, 1988",Germany,Bayern Munich,"38,462",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,1.21,65.1,0.36,0.0,28.6,39.43,22.5,4.71,25.3,4.2,1.29,18.2,
Aleksandar Pavlovic,MF,,Both,188cm,75kg,"May 3, 2004",Germany,Bayern Munich,"9,615",2027.0,,,,,,,0.17,0.1,0.67,0.17,0.08,0.19,3.29,72.71,91.9,8.6,1.18,0.59,0.76,1.18,1.94,1.18,1.27,1.1,0.93,,,,,,,,,,,,,,
Eric Dier,DF-MF,(CB-DM),Right,188cm,87kg,"January 15, 1994",England,Bayern Munich,"85,000",2024.0,,,,,,,0.0,0.06,0.56,0.0,0.01,0.07,0.73,79.22,89.4,3.22,0.45,0.0,0.79,0.11,0.9,1.02,1.35,4.06,2.09,,,,,,,,,,,,,,
Mathys Tel,FW,,Right,183cm,74kg,"April 27, 2005",France,Bayern Munich,"96,154",2029.0,,,,,,,0.82,0.42,4.49,0.46,0.25,0.67,4.95,39.13,82.0,3.12,4.67,4.03,8.43,11.73,0.82,0.73,1.37,0.55,1.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.26,0.17,2.0,0.11,0.18,0.35,3.79,25.58,57.2,2.05,5.74,3.0,4.37,7.42,1.05,0.26,0.47,0.16,0.26,,,,,,,,,,,,,,
Min-jae Kim,DF,,Right,188cm,78kg,"November 15, 1996",Korea Republic,Bayern Munich,"230,769",2028.0,,,,,,,0.03,0.03,0.32,0.03,0.02,0.04,1.04,93.24,92.7,5.44,0.71,0.10,0.58,0.06,1.55,2.01,1.36,3.20,2.85,,,,,,,,,,,,,,
Leroy Sané,FW,,Left,184cm,73kg,"January 11, 1996",Germany,Bayern Munich,"384,615",2025.0,,,,,,,0.31,0.39,3.02,0.39,0.38,0.77,5.44,42.03,80.1,4.37,5.05,3.72,5.72,11.27,0.96,0.25,0.54,0.11,0.08,,,,,,,,,,,,,,
Serge Gnabry,FW,,Right,173cm,73kg,"July 14, 1995",Germany,Bayern Munich,"362,885",2026.0,,,,,,,0.94,0.53,2.93,0.21,0.18,0.71,2.72,36.27,81.6,2.93,3.66,0.84,5.75,9.09,1.57,0.42,1.57,0.52,0.94,,,,,,,,,,,,,,
Kingsley Coman,FW,,Right,178cm,71kg,"June 13, 1996",France,Bayern Munich,"326,923",2027.0,,,,,,,0.29,0.26,2.70,0.15,0.25,0.51,4.47,49.99,80.5,5.31,5.85,2.70,6.93,16.42,0.79,0.15,1.13,0.39,0.74,,,,,,,,,,,,,,
Daniel Peretz,GK,,Right,187cm,74kg,"July 10, 2000",Israel,Bayern Munich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Führich,FW-MF,,Right,178cm,69kg,"January 9, 1998",Germany,Stuttgart,"48,077",2028.0,,,,,,,0.29,0.21,1.9,0.33,0.35,0.56,5.08,47.78,81.0,4.93,5.48,2.56,4.42,9.5,1.06,0.22,0.95,0.26,0.18,,,,,,,,,,,,,,
Atakan Karazor,MF,(CM-DM),Right,190cm,78kg,"October 13, 1996",Germany,Stuttgart,"9,038",2026.0,,,,,,,0.0,0.03,0.63,0.1,0.08,0.11,1.68,61.29,88.8,4.52,0.79,0.26,0.46,1.12,2.31,0.89,1.32,1.52,1.45,,,,,,,,,,,,,,
Alexander Nübel,GK,,Right,193cm,74kg,"September 30, 1996",Germany,Stuttgart,"28,846",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,1.41,67.7,0.28,0.0,31.3,39.97,25.9,4.72,35.3,8.8,1.81,16.8,
Enzo Millot,MF,,Left,175cm,72kg,"July 17, 2002",France,Stuttgart,"36,346",2028.0,,,,,,,0.16,0.19,1.72,0.08,0.14,0.33,3.32,53.92,83.3,4.8,1.93,1.85,2.99,6.93,1.72,0.7,1.07,0.29,0.37,,,,,,,,,,,,,,
Hiroki Ito,DF,"(CB,",Left,186cm,78kg,"May 12, 1999",Japan,Stuttgart,"48,077",2027.0,,,,,,,0.0,0.04,0.8,0.08,0.08,0.12,1.53,85.26,87.6,5.19,1.09,0.28,0.8,1.29,0.8,1.17,1.0,3.22,1.57,,,,,,,,,,,,,,
Serhou Guirassy,FW,,Right,187cm,83kg,"March 12, 1996",Guinea,Stuttgart,"41,538",2026.0,,,,,,,0.95,0.72,3.42,0.04,0.24,0.95,3.42,30.28,79.4,2.3,1.11,0.68,6.08,6.83,0.24,0.2,0.32,0.99,2.34,,,,,,,,,,,,,,
Maximilian Mittelstädt,DF-MF,"(FB,",Left,178cm,68kg,"March 18, 1997",Germany,Stuttgart,"19,231",2026.0,,,,,,,0.09,0.04,0.84,0.18,0.17,0.21,2.34,68.99,84.1,5.3,3.31,1.63,1.41,5.16,3.84,2.16,1.63,2.78,1.37,,,,,,,,,,,,,,
Deniz Undav,FW,,Both,178cm,86kg,"July 19, 1996",Germany,Stuttgart,"23,077",2024.0,,,,,,,0.93,0.64,4.07,0.38,0.26,0.91,3.81,32.67,72.9,4.07,2.12,1.19,6.27,7.03,1.1,0.25,0.81,0.21,0.72,,,,,,,,,,,,,,
Pascal Stenzel,DF-MF,"(DM-FB,",Right,183cm,72kg,"March 20, 1996",Germany,Stuttgart,"18,077",2026.0,,,,,,,0.0,0.03,1.22,0.44,0.27,0.3,3.13,70.07,86.3,7.31,2.87,0.52,0.35,3.92,1.57,1.22,1.91,2.26,0.78,,,,,,,,,,,,,,
Jamie Leweling,FW-MF,,Right,184cm,86kg,"February 26, 2001",Germany,Stuttgart,"19,615",2024.0,,,,,,,0.28,0.4,2.6,0.28,0.21,0.61,3.52,33.49,76.7,1.83,4.15,1.69,5.56,10.27,1.27,0.14,1.41,0.84,0.28,,,,,,,,,,,,,,
Anthony Rouault,DF,"(CB,",Right,186cm,76kg,"May 29, 2001",France,Stuttgart,"2,308",2024.0,,,,,,,0.0,0.02,0.33,0.13,0.05,0.07,1.06,76.77,89.0,5.22,0.4,0.13,0.53,0.53,1.79,0.73,1.19,2.45,1.98,,,,,,,,,,,,,,
Fabian Bredlow,GK,,Left,191cm,89kg,"March 2, 1995",Germany,Stuttgart,"21,731",2026.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,1.0,82.1,0.24,0.0,11.1,42.89,25.4,5.0,38.1,2.9,0.78,15.0,
Leonidas Stergiou,DF,(CB),,180cm,69kg,"March 3, 2002",Switzerland,Stuttgart,"3,654",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahmoud Dahoud,MF,(CM-DM),Right,176cm,67kg,"January 1, 1996",Germany,Stuttgart,"55,000",2027.0,,,,,,,0.11,0.09,1.01,0.11,0.16,0.25,2.92,70.11,87.5,3.71,0.56,0.34,1.01,1.24,1.8,0.22,1.01,0.9,0.22,,,,,,,,,,,,,,
Lilian Egloff,MF,,Right,183cm,79kg,"August 20, 2002",Germany,Stuttgart,"2,308",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto Massimo,FW-MF,,Right,184cm,74kg,"October 12, 2000",Germany,Stuttgart,"3,654",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genki Haraguchi,FW-MF,(AM-CM-WM),Right,177cm,68kg,"May 9, 1991",Japan,Stuttgart,"28,846",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florian Schock,GK,,Right,199cm,84kg,"May 22, 2001",Germany,Stuttgart,"2,308",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Simakan,DF,"(CB,",Right,187cm,82kg,"May 3, 2000",France,RB Leipzig,"38,462",2027.0,,,,,,,0.06,0.12,1.06,0.06,0.08,0.21,1.69,62.21,83.9,4.17,1.45,0.48,2.09,3.02,2.0,1.3,1.51,3.11,2.45,,,,,,,,,,,,,,
Castello Lukeba,DF,"(CB,",Left,184cm,73kg,"December 17, 2002",France,RB Leipzig,"57,692",2028.0,,,,,,,0.06,0.04,0.31,0.0,0.0,0.04,0.43,71.99,91.2,3.79,0.96,0.56,0.62,0.31,0.93,1.4,1.33,3.85,1.33,,,,,,,,,,,,,,
Janis Blaswich,GK,,Right,193cm,87kg,"May 2, 1991",Germany,RB Leipzig,"28,846",2026.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,1.34,64.0,0.31,0.0,24.1,47.66,15.7,7.14,31.4,4.5,1.76,18.3,
Lukas Klostermann,DF-MF,"(CB-FB,",Right,189cm,83kg,"June 3, 1996",Germany,RB Leipzig,"126,923",2028.0,,,,,,,0.05,0.04,0.32,0.0,0.02,0.05,0.82,70.87,91.0,4.71,0.78,0.0,0.32,0.41,1.05,1.05,1.33,4.58,1.05,,,,,,,,,,,,,,
Péter Gulácsi,GK,,Right,191cm,74kg,"May 6, 1990",Hungary,RB Leipzig,"107,692",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,0.69,74.3,0.24,,38.5,38.38,9.7,7.08,29.1,2.5,1.23,16.2,
El Chadaille Bitshiabu,DF,,Left,195cm,96kg,"May 16, 2005",France,RB Leipzig,"34,615",2028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leopold Zingerle,GK,,Right,188cm,78kg,"April 10, 1994",Germany,RB Leipzig,"9,615",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico Schlotterbeck,DF,"(CB,",Left,191cm,84kg,"December 1, 1999",Germany,Dortmund,"90,769",2027.0,,,,,,,0.06,0.09,0.8,0.08,0.06,0.15,1.27,79.95,87.6,5.43,1.51,0.19,1.18,0.3,2.18,1.35,1.68,3.22,1.62,,,,,,,,,,,,,,
Niclas Füllkrug,FW,,Right,188cm,82kg,"February 9, 1993",Germany,Dortmund,"115,385",2026.0,,,,,,,0.31,0.35,2.2,0.28,0.15,0.5,2.6,24.36,65.8,2.34,0.73,0.23,4.12,4.88,0.28,0.08,0.73,0.9,3.64,,,,,,,,,,,,,,
Julian Brandt,FW-MF,"(AM-CM-WM,",Right,185cm,82kg,"May 2, 1996",Germany,Dortmund,"134,615",2026.0,,,,,,,0.27,0.19,1.71,0.46,0.37,0.56,5.64,51.5,77.0,4.0,2.93,1.1,2.68,7.02,1.1,0.37,0.98,0.82,0.49,,,,,,,,,,,,,,
Gregor Kobel,GK,,Right,194cm,87kg,"December 6, 1997",Switzerland,Dortmund,"173,077",2028.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,1.13,79.2,0.27,25.0,32.4,45.17,21.7,6.71,37.7,2.8,0.59,12.3,
Marcel Sabitzer,FW-MF,(AM-CM-DM-WM),Right,176cm,69kg,"March 17, 1994",Austria,Dortmund,"144,231",2027.0,,,,,,,0.14,0.12,1.78,0.27,0.11,0.23,3.01,42.64,79.6,4.42,1.71,0.48,2.67,3.49,1.64,0.62,1.23,1.68,0.27,,,,,,,,,,,,,,
Julian Ryerson,DF-MF,(FB),Right,183cm,83kg,"November 17, 1997",Norway,Dortmund,"39,231",2026.0,,,,,,,0.14,0.06,0.75,0.07,0.12,0.18,1.63,57.87,84.9,3.4,2.42,0.99,1.23,5.28,2.14,0.44,1.46,1.74,0.58,,,,,,,,,,,,,,
Mats Hummels,DF,(CB),Right,192cm,89kg,"December 16, 1988",Germany,Dortmund,"134,615",2024.0,,,,,,,0.1,0.14,0.89,0.03,0.04,0.18,1.55,73.61,88.3,5.34,0.96,0.26,1.29,0.1,3.2,1.98,1.68,4.62,2.14,,,,,,,,,,,,,,
Marco Reus,FW-MF,(AM-WM),Right,180cm,71kg,"May 31, 1989",Germany,Dortmund,"134,615",2024.0,,,,,,,0.24,0.32,2.21,0.29,0.22,0.54,3.69,36.41,80.1,3.21,1.54,0.58,3.98,4.51,2.16,0.48,0.96,0.96,0.72,,,,,,,,,,,,,,
Niklas Süle,DF,"(CB,",Right,195cm,92kg,"September 3, 1995",Germany,Dortmund,"192,308",2026.0,,,,,,,0.09,0.05,0.81,0.0,0.03,0.08,1.49,80.01,91.8,5.65,1.57,0.21,1.1,0.89,1.36,1.15,1.19,3.31,0.98,,,,,,,,,,,,,,
Jamie Bynoe-Gittens,FW,,Right,175cm,69kg,"August 8, 2004",England,Dortmund,"57,692",2028.0,,,,,,,0.17,0.2,3.52,0.26,0.2,0.4,4.04,29.97,77.1,2.32,5.07,3.44,5.32,8.33,0.94,0.43,0.94,0.77,0.34,,,,,,,,,,,,,,
Salih Özcan,MF,(CM-DM),Right,180cm,73kg,"January 11, 1998",Turkey,Dortmund,"72,692",2026.0,,,,,,,0.0,0.04,0.52,0.0,0.07,0.11,1.89,57.23,85.8,4.18,1.03,0.29,0.34,1.37,1.72,1.43,2.01,1.37,1.2,,,,,,,,,,,,,,
Marius Wolf,DF-FW-MF,"(AM-FB,",Right,187cm,81kg,"May 27, 1995",Germany,Dortmund,"63,462",2024.0,,,,,,,0.0,0.05,0.72,0.06,0.1,0.16,2.75,60.16,75.8,4.72,3.05,1.08,2.15,7.3,1.97,0.72,1.14,1.67,0.48,,,,,,,,,,,,,,
Jadon Sancho,FW-MF,(AM),Right,180cm,73kg,"March 25, 2000",England,Dortmund,"67,308",2024.0,,,,,,,0.22,0.11,0.88,0.11,0.3,0.41,4.68,45.19,80.9,4.85,5.79,2.81,5.29,10.42,0.94,0.28,1.49,0.44,0.0,,,,,,,,,,,,,,
Karim Adeyemi,FW-MF,,Left,180cm,68kg,"January 18, 2002",Germany,Dortmund,"96,154",2027.0,,,,,,,0.44,0.3,2.21,0.17,0.21,0.51,3.26,27.49,73.0,2.27,4.09,1.83,5.2,8.24,1.27,0.5,1.0,0.44,1.05,,,,,,,,,,,,,,
Felix Nmecha,MF,,Right,185cm,74kg,"October 10, 2000",Germany,Dortmund,"115,385",2028.0,,,,,,,0.06,0.13,1.94,0.18,0.11,0.24,2.89,36.11,80.6,4.24,1.59,1.0,1.94,2.53,1.88,1.18,1.24,1.3,1.59,,,,,,,,,,,,,,
Alexander Meyer,GK,,Right,196cm,78kg,"April 13, 1991",Germany,Dortmund,"10,962",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.91,76.0,0.21,0.0,42.9,48.82,20.8,4.92,42.3,6.8,0.91,14.8,
Youssoufa Moukoko,FW,,Left,179cm,74kg,"November 20, 2004",Germany,Dortmund,"57,692",2026.0,,,,,,,0.49,0.48,2.47,0.0,0.15,0.63,2.63,20.07,77.9,2.3,2.8,2.47,4.61,4.77,0.82,0.33,1.15,0.33,0.82,,,,,,,,,,,,,,
Ole Pohlmann,FW-MF,,,Born:,April,National Team: Germany,Dortmund,"€ 4,808 Weekly Expires June 2025. Via Capology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonios Papadopoulos,DF-MF,,Right,186cm,83kg,"September 10, 1999",Germany,Dortmund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateu Morey,DF,,Right,173cm,67kg,"March 2, 2000",Spain,Dortmund,"18,846",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marcel Lotka,GK,,Right,190cm,84kg,"May 25, 2001",Poland,Dortmund,"4,615",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willian Pacho,DF,"(CB,",Left,186cm,81kg,"October 16, 2001",Ecuador,Eintracht Frankfurt,"15,385",2028,,,,,,,0.0,0.04,0.34,0.07,0.03,0.08,0.86,70.28,84.4,4.38,0.72,0.34,0.55,0.14,1.97,1.48,1.62,4.93,1.79,,,,,,,,,,,,,,
Kevin Trapp,GK,,Right,189cm,83kg,"July 8, 1990",Germany,Eintracht Frankfurt,"67,308",2026.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.36,71.3,0.28,25.0,24.2,38.21,28.7,6.85,35.3,3.8,0.97,15.4,
Robin Koch,DF-MF,(CB),Right,192cm,82kg,"July 17, 1996",Germany,Eintracht Frankfurt,"47,308",2024.0,,,,,,,0.06,0.11,0.83,0.0,0.01,0.12,0.6,66.42,86.9,4.01,0.48,0.06,1.34,0.29,1.3,0.95,1.15,4.39,2.93,,,,,,,,,,,,,,
Tuta,DF,"(CB,",Right,184cm,78kg,"July 4, 1999",Brazil,Eintracht Frankfurt,"28,846",2026.0,,,,,,,0.07,0.07,0.69,0.1,0.08,0.15,1.18,66.25,83.3,4.47,0.76,0.42,1.07,1.49,2.18,1.25,1.11,3.88,1.87,,,,,,,,,,,,,,
Omar Marmoush,FW,,Right,177cm,73kg,"February 7, 1999",Egypt,Eintracht Frankfurt,"30,769",2027.0,,,,,,,0.45,0.41,3.12,0.27,0.2,0.61,2.99,22.61,70.4,2.32,3.3,1.43,6.15,6.73,0.89,0.36,0.49,0.31,1.29,,,,,,,,,,,,,,
Junior Dina Ebimbe,FW-MF,,Right,182cm,76kg,"November 21, 2000",France,Eintracht Frankfurt,"13,846",2027.0,,,,,,,0.24,0.24,2.41,0.14,0.14,0.38,2.41,45.75,76.1,4.23,2.79,1.88,4.18,6.73,2.02,0.43,1.3,1.97,2.12,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.1,0.06,0.49,0.05,0.07,0.13,1.09,44.53,86.3,3.11,1.28,0.35,0.79,1.93,1.53,1.38,1.63,1.38,0.44,,,,,,,,,,,,,,
Ansgar Knauff,DF-MF,,Right,180cm,69kg,"January 10, 2002",Germany,Eintracht Frankfurt,"10,385",2028.0,,,,,,,0.33,0.26,1.59,0.05,0.07,0.33,2.34,31.22,63.6,2.29,3.18,1.08,4.35,6.79,1.83,0.61,1.73,0.7,0.89,,,,,,,,,,,,,,
Ellyes Skhiri,MF,(CM-DM),Right,184cm,68kg,"May 10, 1995",Tunisia,Eintracht Frankfurt,"53,846",2027.0,,,,,,,0.12,0.12,0.82,0.08,0.05,0.16,1.83,57.23,84.7,4.32,0.62,0.7,1.52,1.64,1.75,1.6,1.32,1.79,1.48,,,,,,,,,,,,,,
Mario Götze,FW-MF,(AM-CM),Right,176cm,71kg,"June 3, 1992",Germany,Eintracht Frankfurt,"67,308",2026.0,,,,,,,0.17,0.15,0.66,0.08,0.12,0.27,3.35,57.28,77.2,5.05,1.12,0.83,2.15,6.21,1.74,0.33,0.87,0.62,0.29,,,,,,,,,,,,,,
Aurélio Buta,DF-MF,"(FB,",Right,172cm,69kg,"February 10, 1997",Portugal,Eintracht Frankfurt,"9,231",2026.0,,,,,,,0.09,0.02,0.73,0.05,0.08,0.11,1.83,54.95,78.1,4.07,2.56,0.5,2.52,5.9,2.01,0.73,1.33,2.1,1.6,,,,,,,,,,,,,,
Philipp Max,DF-MF,"(FB,",Left,178cm,74kg,"September 30, 1993",Germany,Eintracht Frankfurt,"38,269",2026.0,,,,,,,0.06,0.01,0.52,0.13,0.19,0.2,2.32,59.87,82.7,4.32,1.68,0.45,1.29,3.87,1.74,0.52,1.16,1.29,0.77,,,,,,,,,,,,,,
Niels Nkounkou,DF-MF,,Left,182cm,78kg,"November 1, 2000",France,Eintracht Frankfurt,"13,462",2028.0,,,,,,,0.0,0.08,1.49,0.07,0.15,0.23,2.2,54.01,72.0,3.97,3.34,1.99,2.27,6.74,2.84,1.35,1.21,1.35,1.49,,,,,,,,,,,,,,
Donny van de Beek,MF,(CM),Right,181cm,76kg,"April 18, 1997",Netherlands,Eintracht Frankfurt,"34,615",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoto Hasebe,DF-MF,(CB-DM-WM),Right,180cm,72kg,"January 18, 1984",Japan,Eintracht Frankfurt,"26,923",2024.0,,,,,,,0.0,0.0,0.0,0.0,0.02,0.02,0.94,83.03,87.8,4.52,1.51,0.0,0.0,0.94,1.51,0.94,1.32,2.07,1.13,,,,,,,,,,,,,,
Jens Grahl,GK,,Both,193cm,86kg,"September 22, 1988",Germany,Eintracht Frankfurt,"6,731",2026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy Chandler,DF-MF,"(FB-WM,",Right,186cm,79kg,"March 29, 1990",United,Eintracht Frankfurt,"23,077",2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Atubolu,GK,,Right,190cm,78kg,"May 25, 2002",Germany,Freiburg,"2,308",2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19,1.68,63.6,0.32,0.0,32.5,44.98,33.5,6.9,50.8,5.2,0.75,13.3,
Maximilian Eggestein,MF,"(AM-CM-DM-WM,",Right,181cm,74kg,"December 8, 1996",Germany,Freiburg,"18,462",2025.0,,,,,,,0.05,0.07,1.26,0.12,0.1,0.17,2.34,41.97,82.4,5.17,1.41,0.55,0.98,1.93,1.5,0.91,1.45,1.07,1.45,,,,,,,,,,,,,,
Vincenzo Grifo,FW-MF,"(AM-WM,",Right,181cm,74kg,"April 7, 1993",Italy,Freiburg,"18,269",2024.0,,,,,,,0.15,0.12,1.52,0.3,0.3,0.42,3.99,50.99,72.1,4.05,1.7,1.1,2.44,5.63,1.13,0.63,0.8,0.75,0.39,,,,,,,,,,,,,,
Lucas Höler,FW-MF,,Right,184cm,79kg,"July 10, 1994",Germany,Freiburg,"10,000",2024.0,,,,,,,0.16,0.24,1.33,0.11,0.12,0.36,2.61,28.81,67.3,2.01,1.03,0.52,3.91,5.81,1.22,0.43,0.87,1.03,3.42,,,,,,,,,,,,,,
Nicolas Höfler,MF,"(CM-DM,",Right,181cm,78kg,"March 9, 1990",Germany,Freiburg,"17,308",2024.0,,,,,,,0.03,0.04,0.73,0.03,0.02,0.06,1.3,47.24,86.2,3.8,0.54,0.38,0.81,0.49,2.47,1.41,1.25,1.71,1.79,,,,,,,,,,,,,,
Ritsu Doan,FW-MF,"(AM-WM,",Left,172cm,69kg,"June 16, 1998",Japan,Freiburg,"16,154",2024.0,,,,,,,0.24,0.2,1.5,0.12,0.16,0.36,3.06,29.19,71.2,3.03,2.37,1.77,2.64,5.49,2.16,0.42,1.26,1.02,0.84,,,,,,,,,,,,,,
Manuel Gulde,DF,(CB),Right,179cm,74kg,"February 12, 1991",Germany,Freiburg,"9,231",2024.0,,,,,,,0.07,0.05,0.41,0.0,0.02,0.07,0.72,53.07,86.8,3.5,0.51,0.07,0.62,0.17,1.65,1.27,0.86,3.36,2.06,,,,,,,,,,,,,,
